date,dns,count
1/3/2023,edirnejethaber.com,6
1/3/2023,egedesonsoz.com,1
1/3/2023,ekohaber.com.tr,1
1/3/2023,ekonomist.com.tr,1
1/3/2023,el-aziz.com,1
1/3/2023,elbistaninsesi.com,1
1/3/2023,elbistanolay.com,1
1/3/2023,ensonhaber.com,100
1/3/2023,eskisehir.net,2
1/3/2023,eskisehirekspres.net,1
1/3/2023,eurohoops.net,9
1/3/2023,euronews.com,5
1/3/2023,evrensel.net,6
1/3/2023,f5haber.com,7
1/3/2023,fanatik.com.tr,8
1/3/2023,fenerbahce.org,1
1/3/2023,finans365.com,1
1/3/2023,finansgundem.com,6
1/3/2023,fotomac.com.tr,10
1/3/2023,fotospor.com,1
1/3/2023,futbolarena.com,2
1/3/2023,gazetedamga.com.tr,7
1/3/2023,gazeteduvar.com.tr,58
1/3/2023,gazeteilksayfa.com,4
1/3/2023,gazetekarinca.com,1
1/3/2023,gazetevatan.com,3
1/3/2023,gaziantepgunes.com,1
1/3/2023,gaziantepinhabercisi.com,3
1/3/2023,gazianteptime.com.tr,1
1/3/2023,gercekgundem.com,2
1/3/2023,golcukgundem.com,1
1/3/2023,gozlemgazetesi.com,1
1/3/2023,gunestv.com,1
1/3/2023,guneydoguekspres.com,2
1/3/2023,guneydoguguncel.com,1
1/3/2023,gunhaber.com.tr,1
1/3/2023,haber.dk,1
1/3/2023,haber3.com,5
1/3/2023,haber46.com.tr,1
1/3/2023,haber61.net,7
1/3/2023,haber7.com,91
1/3/2023,haberalternatif.com,1
1/3/2023,haberdar.com,2
1/3/2023,habergazetesi.com.tr,1
1/3/2023,haberglobal.com.tr,9
1/3/2023,haberinadresi.com,1
1/3/2023,haberizlenim.com,9
1/3/2023,haberler.com,154
1/3/2023,haberlerankara.com,7
1/3/2023,haberlisin.com,1
1/3/2023,habermilas.com,1
1/3/2023,haberts.com,1
1/3/2023,haberturk.com,196
1/3/2023,habervakti.com,1
1/3/2023,hakimiyet.com,1
1/3/2023,halk54.com,4
1/3/2023,halkaarz.net,11
1/3/2023,halktv.com.tr,23
1/3/2023,hurriyet.com.tr,174
1/3/2023,hwp.com.tr,2
1/3/2023,ign.com,1
1/3/2023,iha.com.tr,36
1/3/2023,imaret.com.tr,3
1/3/2023,inegolonline.com,1
1/3/2023,internethaber.com,23
1/3/2023,investing.com,3
1/3/2023,isilanlarikariyer.com,1
1/3/2023,izgazete.net,1
1/3/2023,kamu3.com,1
1/3/2023,kamubulteni.com,1
1/3/2023,kamudanhaber.net,5
1/3/2023,kamugundemi.com,3
1/3/2023,karabuknethaber.com,1
1/3/2023,karadenizgazete.com.tr,2
1/3/2023,karamandan.com,1
1/3/2023,karar.com,23
1/3/2023,kayseriolay.com,2
1/3/2023,kibrisgenctv.com,2
1/3/2023,kirsehirhaberturk.com,1
1/3/2023,kocaelibarisgazetesi.com,8
1/3/2023,kocaeligazetesi.com.tr,2
1/3/2023,kocaelikoz.com,1
1/3/2023,konhaber.com,3
1/3/2023,korfezgazete.com,1
1/3/2023,kurdistan24.net,1
1/3/2023,listelist.com,1
1/3/2023,log.com.tr,4
1/3/2023,malatyaguncel.com,1
1/3/2023,malatyahaber.com,1
1/3/2023,mansetaydin.com,2
1/3/2023,marasgundem.com.tr,1
1/3/2023,meb.gov.tr,1
1/3/2023,medyabar.com,4
1/3/2023,medyaege.com.tr,2
1/3/2023,medyagazete.com,1
1/3/2023,medyaradar.com,13
1/3/2023,medyascope.tv,4
1/3/2023,medyatava.com,3
1/3/2023,memurlar.net,24
1/3/2023,merhabahaber.com,3
1/3/2023,merhabayozgat.com,1
1/3/2023,milligazete.com.tr,17
1/3/2023,milliyet.com.tr,129
1/3/2023,msn.com,44
1/3/2023,muglagazetesi.com.tr,1
1/3/2023,mynet.com,79
1/3/2023,nazillihavadis.com,1
1/3/2023,nnchaber.com,4
1/3/2023,normhaber.com,12
1/3/2023,ntv.com.tr,83
1/3/2023,ntvspor.net,18
1/3/2023,odatv4.com,5
1/3/2023,ogretmenlericin.com,8
1/3/2023,olay53.com,4
1/3/2023,olaymedya.com,2
1/3/2023,oncekorfez.com,2
1/3/2023,oncurtv.com,1
1/3/2023,onedio.com,67
1/3/2023,ordugazete.com,1
1/3/2023,otoajanda.com,1
1/3/2023,ozgunkocaeli.com.tr,1
1/3/2023,ozgurdersim.com,1
1/3/2023,ozgurkocaeli.com.tr,4
1/3/2023,palinfo.com,1
1/3/2023,politikyol.com,3
1/3/2023,posta.com.tr,28
1/3/2023,rudaw.net,11
1/3/2023,sabah.com.tr,131
1/3/2023,sanathaber.net,6
1/3/2023,savunmasanayist.com,2
1/3/2023,sesgazetesi.com.tr,2
1/3/2023,shiftdelete.net,7
1/3/2023,showtv.com.tr,2
1/3/2023,sol.org.tr,6
1/3/2023,sondakika.com,146
1/3/2023,sozcu.com.tr,86
1/3/2023,sporx.com,4
1/3/2023,star.com.tr,3
1/3/2023,starkibris.net,3
1/3/2023,t24.com.tr,51
1/3/2023,t54.com.tr,2
1/3/2023,takvim.com.tr,64
1/3/2023,tarimdanhaber.com,1
1/3/2023,tasova.net,1
1/3/2023,technopat.net,1
1/3/2023,teknolojioku.com,2
1/3/2023,tele1.com.tr,3
1/3/2023,televizyongazetesi.com,14
1/3/2023,tgrthaber.com.tr,10
1/3/2023,tigrishaber.com,3
1/3/2023,tokathaber.com.tr,1
1/3/2023,trthaber.com,16
1/3/2023,trtspor.com.tr,6
1/3/2023,turkiyegazetesi.com.tr,4
1/3/2023,turkmmo.com,5
1/3/2023,turktime.com,1
1/3/2023,tv100.com,18
1/3/2023,twitter.com,4
1/3/2023,ulusal.com.tr,6
1/3/2023,urfanatik.com,1
1/3/2023,vanpostasigazetesi.com,2
1/3/2023,veryansintv.com,1
1/3/2023,vitrinhaber.com,12
1/3/2023,webmasto.com,1
1/3/2023,webtekno.com,1
1/3/2023,yarin11.com,1
1/3/2023,yasemin.com,8
1/3/2023,yeniakit.com.tr,28
1/3/2023,yenialanya.com,2
1/3/2023,yeniasir.com.tr,8
1/3/2023,yeniasya.com.tr,1
1/3/2023,yenibursa.com,1
1/3/2023,yenicaggazetesi.com.tr,27
1/3/2023,yenikonya.com.tr,1
1/3/2023,yenisafak.com,34
1/3/2023,yozgatcamlik.com,1
1/4/2023,45haber.com,1
1/4/2023,59.com.tr,1
1/4/2023,90min.com,5
1/4/2023,a3haber.com,1
1/4/2023,aa.com.tr,12
1/4/2023,afyonkenthaber.com,1
1/4/2023,ahaber.com.tr,14
1/4/2023,ajansmanisa.com,8
1/4/2023,ajansspor.com,16
1/4/2023,akilligundem.com,4
1/4/2023,aksam.com.tr,33
1/4/2023,alomaliye.com,1
1/4/2023,anadoludabugun.com.tr,1
1/4/2023,anamurekspres.com,9
1/4/2023,aspor.com.tr,74
